genotype,sample,dpi,cytokine,avg_conc,log10_conc
WT,2,3,ifng,68.545,1.835975781
WT,2,9,ifng,32.065,1.506031244
KO,2,3,ifng,22.61,1.354300562
WT,2,12,ifng,0.67,-0.173925197
KO,2,0,ifng,0.42,-0.37675071
WT,2,0,ifng,0.42,-0.37675071
WT,2,9,il10,37.285,1.571534147
KO,2,6,il10,36.625,1.563777633
KO,2,9,il10,19.485,1.28970041
KO,2,3,il10,3.355,0.525692525
WT,2,3,il10,2.75,0.439332694
WT,2,6,il10,1.57,0.195899652
KO,2,0,il10,0.86,-0.065501549
WT,2,0,il10,0.86,-0.065501549
WT,2,12,il10,0.86,-0.065501549
KO,2,6,il11,6.8825,0.83774622
WT,2,3,il11,6.8825,0.83774622
KO,2,0,il11,4.565,0.659440782
KO,2,3,il11,4.565,0.659440782
KO,2,9,il11,4.565,0.659440782
WT,2,0,il11,4.565,0.659440782
WT,2,6,il11,4.565,0.659440782
WT,2,9,il11,4.565,0.659440782
WT,2,12,il11,4.565,0.659440782
WT,2,6,il12p40,618.265,2.791174662
WT,2,12,il12p40,547.79,2.7386141
KO,2,6,il12p40,529.805,2.724116053
WT,2,3,il12p40,460.985,2.663686794
KO,2,9,il12p40,174.12,2.240848658
KO,2,3,il12p40,136.03,2.133634698
WT,2,9,il12p40,126.17,2.100956103
KO,2,0,il12p40,49.81,1.697316542
WT,2,0,il12p40,42.32,1.626545659
KO,2,0,il12p70,2.21,0.344392274
KO,2,3,il12p70,2.21,0.344392274
KO,2,6,il12p70,2.21,0.344392274
KO,2,9,il12p70,2.21,0.344392274
WT,2,0,il12p70,2.21,0.344392274
WT,2,3,il12p70,2.21,0.344392274
WT,2,6,il12p70,2.21,0.344392274
WT,2,9,il12p70,2.21,0.344392274
WT,2,12,il12p70,2.21,0.344392274
WT,2,9,il13,2.7975,0.446770095
KO,2,3,il13,1.98,0.29666519
KO,2,6,il13,1.865,0.270678836
WT,2,3,il13,1.6575,0.219453537
WT,2,6,il13,1.5075,0.178257321
KO,2,9,il13,1.4325,0.156094631
KO,2,0,il13,0.765,-0.116338565
WT,2,0,il13,0.765,-0.116338565
WT,2,12,il13,0.765,-0.116338565
WT,2,6,il17a,4.135,0.616475514
KO,2,6,il17a,3.77,0.57634135
WT,2,3,il17a,3.26,0.5132176
WT,2,9,il17a,1.865,0.270678836
KO,2,3,il17a,1.61,0.206825876
KO,2,9,il17a,1.58,0.198657087
KO,2,0,il17a,1.12,0.049218023
WT,2,12,il17a,1.045,0.01911629
WT,2,0,il17a,0.85,-0.070581074
WT,2,9,il17f,1.7075,0.232360712
KO,2,3,il17f,1.27,0.103803721
WT,2,3,il17f,1.2275,0.089021501
KO,2,6,il17f,0.8475,-0.071860293
KO,2,0,il17f,0.445,-0.351639989
KO,2,9,il17f,0.445,-0.351639989
WT,2,0,il17f,0.445,-0.351639989
WT,2,6,il17f,0.445,-0.351639989
WT,2,12,il17f,0.445,-0.351639989
WT,2,3,il1a,40.73,1.60991441
WT,2,6,il1a,16.265,1.211254068
KO,2,3,il1a,14.765,1.169233451
WT,2,0,il1a,9.34,0.970346876
KO,2,6,il1a,8.755,0.94225615
WT,2,9,il1a,7.6,0.880813592
KO,2,0,il1a,2.685,0.42894429
KO,2,9,il1a,2.685,0.42894429
WT,2,12,il1a,2.685,0.42894429
KO,2,0,il1b,9.385,0.972434277
KO,2,3,il1b,9.385,0.972434277
KO,2,6,il1b,9.385,0.972434277
KO,2,9,il1b,9.385,0.972434277
WT,2,0,il1b,9.385,0.972434277
WT,2,3,il1b,9.385,0.972434277
WT,2,6,il1b,9.385,0.972434277
WT,2,9,il1b,9.385,0.972434277
WT,2,12,il1b,9.385,0.972434277
KO,2,6,il2,0.935,-0.029188389
WT,2,6,il2,0.555,-0.255707017
WT,2,9,il2,0.49,-0.30980392
KO,2,0,il2,0.31,-0.508638306
KO,2,3,il2,0.31,-0.508638306
KO,2,9,il2,0.31,-0.508638306
WT,2,0,il2,0.31,-0.508638306
WT,2,3,il2,0.31,-0.508638306
WT,2,12,il2,0.31,-0.508638306
WT,2,9,il21,2.7575,0.440515521
KO,2,0,il21,1.205,0.080987047
KO,2,3,il21,1.205,0.080987047
KO,2,6,il21,1.205,0.080987047
KO,2,9,il21,1.205,0.080987047
WT,2,0,il21,1.205,0.080987047
WT,2,3,il21,1.205,0.080987047
WT,2,6,il21,1.205,0.080987047
WT,2,12,il21,1.205,0.080987047
KO,2,6,il22,7.53,0.876794976
KO,2,3,il22,6.215,0.793441133
WT,2,3,il22,5.675,0.753965866
WT,2,9,il22,5.26,0.720985744
WT,2,6,il22,2.975,0.47348697
KO,2,0,il22,2.525,0.402261382
WT,2,12,il22,1.875,0.273001272
WT,2,0,il22,1.725,0.236789099
KO,2,9,il22,1.095,0.039414119
WT,2,0,il23,44.9,1.652246341
WT,2,12,il23,11.465,1.059374059
KO,2,6,il23,6.58,0.818225894
KO,2,3,il23,5.325,0.726319612
WT,2,3,il23,5.315,0.725503269
KO,2,0,il23,2.935,0.467608106
KO,2,9,il23,1.59,0.201397124
WT,2,6,il23,1.59,0.201397124
WT,2,9,il23,1.59,0.201397124
KO,2,9,il27,44.91,1.652343055
KO,2,6,il27,15.25,1.183269844
WT,2,12,il27,9.04,0.95616843
WT,2,0,il27,8.24,0.915927212
KO,2,0,il27,5.29,0.723455672
KO,2,3,il27,5.29,0.723455672
WT,2,3,il27,5.29,0.723455672
WT,2,6,il27,5.29,0.723455672
WT,2,9,il27,5.29,0.723455672
KO,2,0,il3,1.485,0.171726454
KO,2,3,il3,1.485,0.171726454
KO,2,6,il3,1.485,0.171726454
KO,2,9,il3,1.485,0.171726454
WT,2,0,il3,1.485,0.171726454
WT,2,3,il3,1.485,0.171726454
WT,2,6,il3,1.485,0.171726454
WT,2,9,il3,1.485,0.171726454
WT,2,12,il3,1.485,0.171726454
KO,2,6,il33,8.115,0.909288524
WT,2,3,il33,4.655,0.667919685
WT,2,0,il33,2.9725,0.473121863
KO,2,0,il33,1.695,0.229169703
KO,2,3,il33,1.695,0.229169703
KO,2,9,il33,1.695,0.229169703
WT,2,6,il33,1.695,0.229169703
WT,2,9,il33,1.695,0.229169703
WT,2,12,il33,1.695,0.229169703
KO,2,3,il4,3.365,0.526985069
KO,2,6,il4,2.27,0.356025857
WT,2,6,il4,1.735,0.239299479
WT,2,9,il4,1.275,0.105510185
WT,2,12,il4,0.895,-0.048176965
WT,2,3,il4,0.615,-0.211124884
KO,2,9,il4,0.6,-0.22184875
KO,2,0,il4,0.34,-0.468521083
WT,2,0,il4,0.34,-0.468521083
KO,2,6,il5,29.415,1.468568853
WT,2,6,il5,18.455,1.26611405
KO,2,9,il5,5.64,0.751279104
KO,2,3,il5,3.76,0.575187845
WT,2,3,il5,3.04,0.482873584
WT,2,9,il5,1.505,0.1775365
KO,2,0,il5,0.97,-0.013228266
WT,2,0,il5,0.97,-0.013228266
WT,2,12,il5,0.97,-0.013228266
WT,2,6,il6,580.73,2.763974262
WT,2,3,il6,437.97,2.641444363
KO,2,6,il6,361.76,2.558420545
KO,2,3,il6,132.835,2.12331252
KO,2,9,il6,51.755,1.713952313
WT,2,9,il6,42.52,1.628593256
KO,2,0,il6,0.755,-0.122053048
WT,2,0,il6,0.755,-0.122053048
WT,2,12,il6,0.755,-0.122053048
WT,2,3,il7,10.67,1.028164419
KO,2,0,il7,1.205,0.080987047
KO,2,3,il7,1.205,0.080987047
KO,2,6,il7,1.205,0.080987047
KO,2,9,il7,1.205,0.080987047
